,id,room_id/id,temp,out/in,date,time
71,__export__.temp_log_195952_80703f87,Room Admin,29,1,2018-12-08,08:36:00
72,__export__.temp_log_195953_8d40d5d6,Room Admin,29,1,2018-12-08,08:36:00
73,__export__.temp_log_195946_950a05dd,Room Admin,29,1,2018-12-08,08:34:00
74,__export__.temp_log_195947_788677b5,Room Admin,29,1,2018-12-08,08:34:00
75,__export__.temp_log_195943_2f2b26fa,Room Admin,41,0,2018-12-08,08:33:00
76,__export__.temp_log_195942_5e1c858f,Room Admin,41,0,2018-12-08,08:33:00
77,__export__.temp_log_195937_fb578c35,Room Admin,29,1,2018-12-08,08:32:00
78,__export__.temp_log_195935_ab01285d,Room Admin,29,1,2018-12-08,08:32:00
79,__export__.temp_log_195933_53aa6200,Room Admin,41,0,2018-12-08,08:31:00
80,__export__.temp_log_195932_988cb49a,Room Admin,41,0,2018-12-08,08:31:00
81,__export__.temp_log_195929_7e57e39e,Room Admin,29,1,2018-12-08,08:30:00
82,__export__.temp_log_195928_bf913f02,Room Admin,29,1,2018-12-08,08:30:00
83,__export__.temp_log_195923_6788ab66,Room Admin,29,1,2018-12-08,08:28:00
84,__export__.temp_log_195921_54b29c20,Room Admin,29,1,2018-12-08,08:28:00
85,__export__.temp_log_195919_2c731f8f,Room Admin,41,0,2018-12-08,08:27:00
86,__export__.temp_log_195918_0b04645d,Room Admin,41,0,2018-12-08,08:27:00
87,__export__.temp_log_195915_0f898d60,Room Admin,29,1,2018-12-08,08:26:00
88,__export__.temp_log_195914_c287670c,Room Admin,29,1,2018-12-08,08:26:00
89,__export__.temp_log_195913_12036871,Room Admin,41,0,2018-12-08,08:25:00
90,__export__.temp_log_195912_d1225202,Room Admin,41,0,2018-12-08,08:25:00
91,__export__.temp_log_195909_4bb4aa6e,Room Admin,29,1,2018-12-08,08:24:00
92,__export__.temp_log_195910_45867a15,Room Admin,29,1,2018-12-08,08:24:00
93,__export__.temp_log_195906_25300ce4,Room Admin,41,0,2018-12-08,08:23:00
94,__export__.temp_log_195907_a93e5292,Room Admin,41,0,2018-12-08,08:23:00
95,__export__.temp_log_195905_c6c4e9b4,Room Admin,29,1,2018-12-08,08:22:00
96,__export__.temp_log_195904_2e517ede,Room Admin,29,1,2018-12-08,08:22:00
97,__export__.temp_log_195900_d8ef0bf6,Room Admin,40,0,2018-12-08,08:21:00
98,__export__.temp_log_195901_224e9da3,Room Admin,40,0,2018-12-08,08:21:00
99,__export__.temp_log_195897_5db0f878,Room Admin,29,1,2018-12-08,08:20:00
100,__export__.temp_log_195898_e3dd9f74,Room Admin,29,1,2018-12-08,08:20:00
101,__export__.temp_log_195895_f547a4eb,Room Admin,29,1,2018-12-08,08:18:00
102,__export__.temp_log_195894_3bedeaeb,Room Admin,29,1,2018-12-08,08:18:00
103,__export__.temp_log_195891_1322e658,Room Admin,30,1,2018-12-08,08:17:00
104,__export__.temp_log_195890_324848c7,Room Admin,30,1,2018-12-08,08:17:00
105,__export__.temp_log_195887_7278790d,Room Admin,29,1,2018-12-08,08:16:00
106,__export__.temp_log_195885_53d95e8e,Room Admin,29,1,2018-12-08,08:16:00
107,__export__.temp_log_195883_0d611f99,Room Admin,40,0,2018-12-08,08:15:00
108,__export__.temp_log_195882_a8219097,Room Admin,40,0,2018-12-08,08:15:00
109,__export__.temp_log_195881_8bf9697a,Room Admin,30,1,2018-12-08,08:15:00
110,__export__.temp_log_195880_5ba2a991,Room Admin,30,1,2018-12-08,08:15:00
111,__export__.temp_log_195877_bcc1e881,Room Admin,29,1,2018-12-08,08:12:00
112,__export__.temp_log_195875_3859808a,Room Admin,29,1,2018-12-08,08:12:00
113,__export__.temp_log_195873_2049543d,Room Admin,40,0,2018-12-08,08:11:00
