date,time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,14:26:0.50,1.06,-0.18,0.09,150.45,-118.35,-25.88
2025-02-07,14:26:1.00,1.26,0.10,0.10,-201.72,93.87,93.44
2025-02-07,14:26:1.50,1.08,-0.30,-0.04,-541.87,114.14,150.70
2025-02-07,14:26:2.00,1.49,0.24,-0.35,-222.60,329.65,-64.88
2025-02-07,14:26:2.50,1.11,-0.02,-0.33,-84.23,83.50,-77.15
2025-02-07,14:26:3.00,0.89,-0.22,-0.26,137.70,-104.86,14.34
2025-02-07,14:26:3.50,3.23,0.63,0.24,113.40,-505.31,-324.71
2025-02-07,14:26:4.00,1.53,-0.13,0.28,207.89,-149.84,-266.48
2025-02-07,14:26:4.50,1.70,0.32,0.36,-36.87,229.92,313.78
2025-02-07,14:26:5.00,2.55,0.44,-0.00,-70.80,522.03,-19.84
2025-02-07,14:26:5.50,1.17,-0.09,-0.29,-270.02,228.21,-24.84
2025-02-07,14:26:6.00,1.18,0.01,-0.26,159.12,-223.63,129.39
2025-02-07,14:26:6.50,1.18,-0.22,0.28,168.09,-145.69,-123.17
2025-02-07,14:26:7.00,1.17,-0.52,-0.10,34.06,-11.47,2.32
2025-02-07,14:26:7.50,0.61,0.37,0.79,136.54,-330.57,160.83
2025-02-07,14:26:8.00,0.52,0.16,0.47,63.84,64.88,-42.24
2025-02-07,14:26:8.50,0.53,1.22,0.05,110.41,77.21,38.15
2025-02-07,14:26:9.00,0.18,0.08,-0.96,26.55,32.17,-5.31
2025-02-07,14:26:9.50,0.21,0.35,-0.62,-106.32,-39.98,118.77
2025-02-07,14:26:10.00,0.65,0.03,-0.68,22.77,-28.93,63.84
2025-02-07,14:26:10.50,0.88,-0.08,-0.64,15.63,104.37,-33.81
2025-02-07,14:26:11.00,0.64,-0.14,-0.71,-3.36,20.20,6.04
2025-02-07,14:26:11.50,1.18,-0.22,-0.46,-20.63,85.27,114.38
2025-02-07,14:26:12.00,-0.15,-0.31,-0.27,-14.28,-233.89,-255.13
2025-02-07,14:26:12.50,0.32,-0.78,-0.62,-58.47,117.19,36.44
2025-02-07,14:26:13.00,0.50,-0.49,-0.77,31.19,-83.56,11.05
2025-02-07,14:26:13.50,-0.28,-0.18,1.22,-38.70,-189.15,57.01
2025-02-07,14:26:14.00,0.52,-0.56,0.84,-104.98,-50.66,34.36
2025-02-07,14:26:14.50,0.82,-0.82,-0.31,-47.55,42.42,-62.87
2025-02-07,14:26:15.00,0.55,-0.87,-0.04,35.10,54.93,96.31
2025-02-07,14:26:15.50,-0.33,-0.53,0.20,13.67,64.64,260.31
2025-02-07,14:26:16.00,-0.19,-0.88,-1.06,72.20,195.07,104.68
2025-02-07,14:26:16.50,0.36,-0.21,-0.95,-9.70,23.68,33.08
2025-02-07,14:26:17.00,0.30,-0.34,-0.47,59.14,-48.34,-193.85
2025-02-07,14:26:17.50,-0.62,-0.54,-0.15,-154.42,-291.44,-1.59
2025-02-07,14:26:18.00,0.59,-0.71,-0.55,45.96,172.12,83.44
2025-02-07,14:26:18.50,0.52,-0.97,-0.78,8.61,48.46,-39.18
2025-02-07,14:26:19.00,0.15,-1.07,0.15,82.15,86.61,52.86
2025-02-07,14:26:19.50,-0.60,-0.48,-0.10,312.07,296.02,72.69
2025-02-07,14:26:20.00,-0.13,-0.24,-0.88,7.20,83.31,117.25
2025-02-07,14:26:20.50,0.00,-0.13,-0.95,7.26,-11.66,-7.57
2025-02-07,14:26:21.00,-0.03,-0.31,-0.98,0.00,-16.85,-45.35
2025-02-07,14:26:21.50,-0.25,-0.23,-1.04,-25.39,-47.36,-6.84
2025-02-07,14:26:22.00,-0.70,0.30,-0.09,-503.66,-231.08,-102.48
2025-02-07,14:26:22.50,0.17,-0.92,-0.41,-8.61,-17.09,-3.91
2025-02-07,14:26:23.00,0.19,-0.89,-0.37,3.97,5.74,15.56
2025-02-07,14:26:23.50,0.40,-0.96,-0.37,-4.03,-52.25,-18.62
2025-02-07,14:26:24.00,-0.17,-0.97,0.13,229.37,174.50,147.28
2025-02-07,14:26:24.50,-0.50,0.38,-0.52,155.40,67.20,86.43
2025-02-07,14:26:25.00,-0.30,0.93,-0.23,-12.88,-6.16,4.03
2025-02-07,14:26:25.50,-0.41,0.82,-0.34,5.49,-12.27,-4.21
2025-02-07,14:26:26.00,-0.61,0.76,-0.07,-126.95,-14.65,-33.39
2025-02-07,14:26:26.50,-0.31,-1.01,-0.22,-15.32,-6.04,5.19
2025-02-07,14:26:27.00,-0.24,-0.99,0.03,109.56,64.27,44.43
2025-02-07,14:26:27.50,-0.86,0.15,-0.41,193.66,124.57,55.36
2025-02-07,14:26:28.00,-0.34,0.41,-0.75,-29.24,-37.78,13.06
2025-02-07,14:26:28.50,-0.46,0.57,-0.64,-42.48,0.85,-20.08
2025-02-07,14:26:29.00,-0.71,0.70,-0.21,-83.25,-10.25,-12.51
2025-02-07,14:26:29.50,-0.44,-0.74,-0.08,-86.73,23.01,-10.38
2025-02-07,14:26:30.00,-0.11,-1.33,-0.16,101.56,142.46,-59.14
2025-02-07,14:26:30.50,-0.07,-0.90,-0.43,7.02,-41.93,-38.94
2025-02-07,14:26:31.00,0.11,-1.07,-0.13,2.56,-58.65,-31.74
2025-02-07,14:26:31.50,0.03,-0.91,-0.26,5.00,3.36,8.42
2025-02-07,14:26:32.00,0.01,-1.02,-0.22,2.38,5.49,3.54
2025-02-07,14:26:32.50,0.06,-1.03,-0.19,0.06,-14.22,-2.20
2025-02-07,14:26:33.00,0.11,-1.02,-0.22,-27.34,-57.07,-6.90
2025-02-07,14:26:33.50,-0.02,-1.09,0.05,-17.27,-117.74,7.02
2025-02-07,14:26:34.00,-0.06,-1.30,-0.09,19.96,-41.44,-27.16
2025-02-07,14:26:34.50,-0.49,-0.88,0.09,-28.50,-29.24,-65.31
2025-02-07,14:26:35.00,-0.73,-0.63,0.05,74.22,71.90,-49.80
2025-02-07,14:26:35.50,-0.61,-0.64,-0.21,52.55,15.50,-30.52
2025-02-07,14:26:36.00,-0.23,-1.18,0.61,49.74,155.88,97.72
2025-02-07,14:26:36.50,-0.33,-0.82,0.14,-34.36,-52.19,15.38
2025-02-07,14:26:37.00,-0.35,-0.92,0.22,-4.03,-13.12,-0.49
2025-02-07,14:26:37.50,-0.42,-0.92,0.18,-0.18,2.56,13.92
2025-02-07,14:26:38.00,-0.46,-0.99,0.13,4.15,6.41,3.91
2025-02-07,14:26:38.50,-0.25,-1.04,0.22,5.13,7.32,-5.13
2025-02-07,14:26:39.00,0.44,-0.35,-0.24,-7.20,31.92,-48.16
2025-02-07,14:26:39.50,0.27,-0.51,-0.62,-24.41,3.36,-78.06
2025-02-07,14:26:40.00,0.23,-0.48,-0.49,-19.29,-3.60,54.57
2025-02-07,14:26:40.50,-0.72,0.49,-0.23,-91.49,-44.86,-122.74
2025-02-07,14:26:41.00,-0.89,0.38,-0.22,-36.13,-22.95,-115.42
2025-02-07,14:26:41.50,0.05,-0.90,-0.04,-13.98,-69.21,-99.30
2025-02-07,14:26:42.00,-0.10,-0.95,-0.44,-29.79,-162.78,-8.54
2025-02-07,14:26:42.50,-0.96,0.01,-0.44,-39.73,-76.35,186.77
2025-02-07,14:26:43.00,-0.21,1.09,-0.73,1.77,39.00,73.97
2025-02-07,14:26:43.50,0.15,-0.38,-1.08,113.34,-1.46,68.30
2025-02-07,14:26:44.00,-0.05,-0.88,-1.04,26.18,-20.94,59.88
2025-02-07,14:26:44.50,-0.07,-0.74,-0.57,-9.77,-67.50,-19.84
2025-02-07,14:26:45.00,-0.01,1.56,-0.27,-143.49,-129.27,-90.82
2025-02-07,14:26:45.50,-0.56,-0.59,0.66,-8.85,1.77,20.45
2025-02-07,14:26:46.00,-0.38,-0.34,0.94,-17.64,-32.29,20.08
2025-02-07,14:26:46.50,-0.33,-0.58,0.87,-77.45,9.58,11.05
2025-02-07,14:26:47.00,0.12,-0.92,0.25,-24.11,261.66,-91.61
2025-02-07,14:26:47.50,0.18,-0.79,-0.18,-8.97,-2.14,53.04
2025-02-07,14:26:48.00,0.13,-0.98,-0.13,-7.26,-12.08,57.43
2025-02-07,14:26:48.50,-0.33,-0.84,-0.25,43.76,119.14,157.23
2025-02-07,14:26:49.00,0.32,0.17,-1.55,25.15,76.66,277.53
2025-02-07,14:26:49.50,-0.49,0.79,-0.26,-12.63,-38.51,84.90
2025-02-07,14:26:50.00,-0.38,0.76,-0.50,-48.52,90.45,-112.00
2025-02-07,14:26:50.50,-0.41,0.58,-0.94,27.10,10.31,-47.79
2025-02-07,14:26:51.00,0.15,-0.02,-0.33,-193.73,40.16,-432.19
2025-02-07,14:26:51.50,0.49,-0.42,-0.77,24.78,-52.06,110.60
2025-02-07,14:26:52.00,0.22,-0.96,-0.12,29.11,-136.66,49.99
2025-02-07,14:26:52.50,-0.68,-0.65,0.09,11.78,-76.66,101.87
2025-02-07,14:26:53.00,-0.35,-0.04,0.96,32.10,-22.64,41.32
